latitude,longitude,buildingName,buildingDescription,buildingNumber,pictureName,campusName,ginuCharacter
35.15391068,128.1016211,대학본부,"1층 : 농협 / 신협 / 대학노조 / 학사지원과 / 주차관리실 / 경비실 / 당직실 / 학생과 / 공무원직원협의회 / 문서취급소

2층 : 예비군연대 / 행정지원과 / 원격근무지원센터 / 학생상담실 /교무과 / 유학생상담실 / 대외협력과(홍보실) / 대외협력과(국제교류팀)

3층 : 접견실 / 총장집무실 / 상황실 / 교학부총장 / 대학원장실 / 학생처장실 / 행정본부장실 / 비서실 / 교육혁신처장실 / 입학처장실

4층 : 교육혁신지원과 / 교육과정지원실 / 안전관리본부 / 소회의실 / 안전관리본부장실 / 대학원실장실 / 대학원사무실

5층 : 대회의실 / 중회의실 / 교환기계실 / 대학평의원회 / 대학평의원 의장실",1,가좌_1,가좌,ginu_default
35.15321797,128.0995021,중앙도서관,"1층: 인포메이션 데스크(대출반납)

2층: 북스퀘어존(PC존, 그룹 스터디룸)

증축부2층~3층: 열람실

3층: 열람실

4층~5층: 자료실

6층: 사무실, 독서인증평가실",2,가좌_2,가좌,ginu_book
35.15363534,128.0973349,학생회관,"학생들을 위한 편의시설과 학생기구가 있습니다.

1층 : 중앙식당, 중앙매점, 커피홀 베이커리

2층 : 장애학생지원센터, 장애학생 정보나눔터, 스터디룸

3층 : 소극장, 인권센터, 학생자치기구(총학생회, 총대의원회, 총동아리연합회)

4층~6층 : 동아리방",3,가좌_3,가좌,ginu_default
35.15372459,128.0961248,학술정보관,"정보전산처, 도서관 학술자료실, 교육혁신처 등이 있습니다.

지하1층 : 보존서고

1층 : 정보전산처 / 정보화교육실 / 교육혁신처(실습실) / 출판부(서고)

2층 : 정보전산처 / 스마트공동체 사업단 / 교육혁신처(스튜디오)

3층 : 도서관 학술자료실 / 개인·단체 학습실",4,가좌_4,가좌,ginu_book
35.15537114,128.1030079,체육관,-,5,가좌_5,가좌,ginu_sports
35.1550684,128.1059305,개방형 스포츠 콤플렉스,"지하1층 : 기계실 / 보일러실 / 세탁실

1층 : 수영장 / 키즈짐 / 운영팀 / 지원팀 / 실장실 / 안내데스크 / GS25 / 그린스미스&샌드베이 / 1층 피트니스센터

2층 : 피트니스센터 / GX룸 / PT룸 / 코어&발란스룸 / 디지털 서킷 트레이닝룸 / 펑셔널룸

3층 : 체육진흥원장실 / 대기구필라테스룸 / 소도구필라테스룸 / 요가룸 / 세미나실",6,가좌_6,가좌,ginu_sports
35.1546304,128.1017858,GNU컨벤션센터·입학처·진로취업지원실,"지하1층 : 보존서고

1층 : 진로취업지원실 / 대학일자리플러스센터 / USG공유대학 학생라운지 /현장실습지원센터 / 잡아카데미(잡서포트룸) / 상상옷장 / AI면접실 / 분장실 / VIP실 / 다용도홀

2층 : 입학처 입학과 / 입학처 입학정책실 / 전시홀 / 대강당(2층 ~ 5층)

3층 : 다목적홀 / 계단강의실

세미나실 / 토론학습실 / 다목적회의장",7,가좌_7,가좌,ginu_book
35.1554096,128.1021692,박물관 및 고문헌도서관,"1층 : 박물관, 출판부, 지앤유 북카페",11,가좌_11,가좌,ginu_book
35.1561242,128.1033647,GNU어린이집,1층 : 어린이집,21,가좌_21,가좌,ginu_dino
35.149742,128.0994864,남문,-,22,가좌_22,가좌,ginu_default
35.155911,128.1042797,북문,-,23,가좌_23,가좌,ginu_default
35.15199256,128.0989824,교양학관·교육혁신처,-,24,가좌_24,가좌,ginu_default
35.15097343,128.1004671,창업보육센터,-,25,가좌_25,가좌,ginu_default
35.15321478,128.0946685,공동실험실습관,-,27,가좌_27,가좌,ginu_lab
35.15383434,128.0954182,BNIT R&D 산학협력센터,"지하1층 : 식물생장실 / 문서고 / LINC3.0 사업단 동아리실

1층 : 산학협력단장실 / 산학연구과 / 산학지원과 / 산학감사실

2층 : 공동지원시설(중회의실, 대회의실) / 기초과학연구소 / 공학연구원 / 농업생명과학연구소 / 산학협력정책연구소 / 사회과학연구원 / 약학연구소

3층 : 기술비즈니스센터 / 스마트팜연구센터 / 소회의실/ 산학연협력선도대학육성사업단(LINC 3.0)

4층: 약학대학

5층: 약학대학 

6층: 혁신연구실 / 약학대학교수실 / 약학대학 실험실

7층: 광화학나노소재전문 핵심연구지원센터 / 혁신연구실

8층: 코로나바이러스 연구센터 / LINC 3.0 강의실(3D 프린터)",28,가좌_28,가좌,ginu_lab
35.1541129,128.0989113,국제어학원,"1층: Pioneer Auditorium(오디토리움), 기자재실, 원장실, 실장실, 행정실Ⅰ, 강의실

2층: 강사실, 강사휴게실, 일본문화연구소 ,강의실

3층: 강의실

4층: 강의실, 멀티미디어실",29,가좌_29,가좌,ginu_book
35.1544679,128.0982797,컴퓨터과학관,"30동(자연과학대학)
컴퓨터과학부, 학생상담센터 등이 있습니다.
1층: 학생상담센터(STUDENT COUNSELING CENETR)
2층: 열람실
3층~4층: 컴퓨터과학부(컴퓨터과학전공)",30,가좌_30,가좌,ginu_check
35.15631457,128.0997895,남명학관,"1층 : 강의실(31-101) / 세미나실(31-104~105) / 회의실(31-106) / 남명전시실

2층 : 기록관 / 기록관 보존서고 / 남명홀

3층 : 경남문화연구원 / 남명학연구소 / 전통문화콘텐츠센터 / 명산문화연구센터 / 경남문화연구센터 / 인권사회발전연구소 / 인문학연구소 / 한문학과 교수연구실",31,가좌_31,가좌,ginu_book
35.15744037,128.0924673,126학생군사교육단,-,32,가좌_32,가좌,ginu_default
35.1535854,128.1033629,예절교육관,-,34,가좌_34,가좌,ginu_default
35.15277132,128.1039263,정보나눔터,1층 : 정보나눔터,41,가좌_41,가좌,ginu_check
35.15216988,128.1029366,야외공연장,-,42,가좌_42,가좌,ginu_sports
35.1547583,128.1039103,대운동장,-,43,가좌_43,가좌,ginu_sports
35.15069645,128.0990517,파워플랜트,-,44,가좌_44,가좌,ginu_sports
35.15617152,128.1025993,교직원테니스장,-,49,가좌_49,가좌,ginu_sports
35.15061549,128.0992934,목공실,1층 : 목공실 / 운전기사대기실,58,가좌_58,가좌,ginu_hat
35.1583745,128.0995331,학생생활관 - 관리동,-,61,가좌_61,가좌,ginu_default
35.157414,128.1002393,학생생활관 - 제3BTL생활관(1동),-,62,가좌_62,가좌,ginu_default
35.1576399,128.1000306,학생생활관 - 제3BTL생활관(2동),-,63,가좌_63,가좌,ginu_default
35.157875,128.0998558,학생생활관 - 제3BTL생활관(3동),-,64,가좌_64,가좌,ginu_default
35.15799808,128.1005534,학생생활관 - 제3BTL생활관(4동),-,65,가좌_65,가좌,ginu_default
35.15844291,128.0988594,학생생활관-5동,-,66,가좌_66,가좌,ginu_default
35.1573429,128.1014494,"학생생활관 6, 7동",-,67,가좌_67,가좌,ginu_default
35.15768888,128.0990929,게스트하우스,-,68,가좌_기본,가좌,ginu_default
35.15783142,128.100967,영어캠프강의동,"1층: 외국어 상황체험관

2층: 행정실, 강사실(EZ영어), 자료실

3층~6층: 강의실",69,가좌_69,가좌,ginu_book
35.15805388,128.0987931,LG개척관,-,70,가좌_기본,가좌,ginu_lab
35.15663618,128.1013017,학생생활관 - 제1BTL생활관(8동),-,71,가좌_71,가좌,ginu_default
35.15664246,128.1017658,학생생활관 - 제1BTL생활관(9동),-,72,가좌_72,가좌,ginu_default
35.1567051,128.1007468,학생생활관 - 제2BTL생활관(10동),-,73,가좌_73,가좌,ginu_default
35.1569057,128.1003774,학생생활관 - 제2BTL생활관(11동),-,74,가좌_74,가좌,ginu_default
35.15822566,128.0977074,부설중학교,,81,가좌_81,가좌,ginu_dino
35.1552044,128.1002759,인문1호관,"• 101동 인문대학,ginu_book
1층 : 영어영문학부 영어영문학전공 사무실 / 국어국문학과 사무실 / 사학과 사무실
2층 : 인문대학 행정실 / 한문학과 사무실
3층 : 러시아학과 사무실 / 불어불문학과 사무실 / 문화콘텐츠학 사무실
4층 : 독어독문학과 사무실 / 중어중문학과 사무실 / 철학과 사무실",101,가좌_101,가좌,ginu_book
35.1550638,128.0998022,인문2호관,"• 102동(인문대학)

1층 : 민속무용학과 사무실",102,가좌_102,가좌,ginu_default
35.15469807,128.1003391,사회과학관,"• 151동(사회과학대학)

1층 : 사회과학대학행정실(행정대학원 사무실) / 경제학부 사무실 / 미디어커뮤니케이션학과 사무실 / 사회복지학부 사무실 / 사회학과 사무실 / 심리학과 사무실

2층 : 정치외교학과 사무실 /행정학과 사무실",151,가좌_151,가좌,ginu_book
35.1539492,128.099712,경영학관,"• 201동(경영대학)

경영대학행정실 / 경영학부 / 경영정보학과 / 국제통상학부 / 회계세무학부 / 산업경영학과",201,가좌_201,가좌,ginu_book
35.1543872,128.0998896,법학관,"• 251동(법과대학)
법학과",251,가좌_251,가좌,ginu_book
35.15423646,128.1006128,대경학술관,"• 252동(법과대학)

법과대학행정실 / 법학도서관",252,가좌_252,가좌,ginu_book
35.15442324,128.0973548,교육1호관,"1층 : 국어문화원 / 중등교원연구센터 / 교육연구원 / 미래교육센터

2층 : 행정실 / 수학교육과

3층 : 영어교육과 / 일어교육과

4층 : 교육학과",301,가좌_301,가좌,ginu_dino
35.15483023,128.0974619,교육2호관,1층 : 열람실 / 수업행동분석실,302,가좌_302,가좌,ginu_default
35.15527603,128.0993388,교육문화센터·평생교육원,"1층 : 학생식당, COOPSKET 교육문화점&바리스타, 체육교육과사무실

2층 : 교직원식당, 체육교육과 교수연구실

3층 : 평생교육원

4층 : 국어교육과사무실 및 교수연구실

5층 : 유아교육과사무실 및 교수연구실

6층 : 윤리교육과사무실 및 교수연구실

7층 : 일반사회교육과/지리교육과사무실 및 교수연구실

8층 : 역사교육과사무실 및 교수연구실",303,가좌_303,가좌,ginu_book
35.15602064,128.1012104,예술관,"중등교사 양성의 요람! 경상국립대학교 사범대학

1층 : 미술교육과사무실 / 음악교육과사무실 / 콘서트홀",304,가좌_304,가좌,ginu_dino
35.15515665,128.0955775,과학1호관,"생명과학부 / 물리학과 / 물리교육과 / 생물교육과

1층 : 물리학과 

2층 : 생물교육과 / 물리교육과

4층 : 생명과학부",351,가좌_351,가좌,ginu_check
35.15541544,128.0964265,과학2호관,"자연과학대학행정실 / 화학과 / 화학교육과, 과학영재교육원

2층 : 과학영재교육원(Center of the Gifted Gyeongsang National University) / 자연과학대학 행정실

3층 : 화학교육과

4층 : 화학과",352,가좌_352,가좌,ginu_lab
35.14980762,128.0991602,과학3호관,"의류학과 / 식품영양학과

1층 : 식품영양학과

3층 : 의류학과",353,가좌_353,가좌,ginu_hat
35.15606953,128.096871,과학4호관,"정보통계학과 / 수학과  / 지질과학과 / 의예과

1층 : 의예과

2층 : 지질과학과

3층 : 정보통계학과

4층 : 수학과",354,가좌_354,가좌,ginu_check
35.15482425,128.0936461,공학1호관,"1층 : 빅데이터혁신공유대학사업단 / 산업시스템공학부

2층 : 공과대학 행정실 / 융합과학구실대학원 / 항공우주특성화대학원 / 건축도시토목대학원 / 스마트인력양성사업단 / 산업시스템공학부

3~4층 : 산업시스템공학부",401,가좌_401,가좌,ginu_lab
35.15534977,128.09373,공학2호관,나노신소재공학부(금속재료공학전공/세라믹공학전공),402,가좌_402,가좌,ginu_lab
35.15589229,128.0938559,공학3호관,기계공학부,403,가좌_403,가좌,ginu_lab
35.15575908,128.0948272,공학4호관,나노신소재공학부(고분자공학전공),404,가좌_404,가좌,ginu_lab
35.15525883,128.0947564,공학5호관,전기공학과 / 전자공학과 / 반도체공학과 / 제어계측공학과,405,가좌_405,가좌,ginu_lab
35.1541766,128.0941587,공학6호관,도시공학과 / 토목공학과 / 건축학과,406,가좌_406,가좌,ginu_check
35.15407074,128.0931739,공학7호관,항공우주및소프트웨어공학부 / 건축공학부(건축공학전공),407,가좌_407,가좌,ginu_lab
35.15632388,128.0947948,부속공장,-,416,가좌_416,가좌,ginu_lab
35.15219283,128.0968323,농생1호관,451동(농업생명과학대학)-농업생명과학대학행정실,451,가좌_451,가좌,ginu_hat
35.15282215,128.0975606,농생2호관,"452동 (농업생명과학대학)
식품자원경제학과 / 농학과 / 식물의학과",452,가좌_452,가좌,ginu_hat
35.15209769,128.0972638,농생3호관,"1층 : 식품공학부

2층 : 식품공학부

3층 : 환경생명화학과",453,가좌_453,가좌,ginu_hat
35.1514399,128.096853,농생4호관,"• 454동(농업생명과학대학)
축산과학부 / 동물생명융합학부",454,가좌_454,가좌,ginu_labdino
35.1513476,128.0975579,농생5호관,"• 455동(농업생명과학대학)
원예과학부",455,가좌_기본,가좌,ginu_hat
35.1530751,128.0957974,농생6호관,"56동(농업생명과학대학)
생물산업기계공학과 / 지역시스템공학과 / 환경재료과학과",456,가좌_456,가좌,ginu_labdino
35.15207963,128.0959248,농업생명과학관,"1층 : 계단강의실(두레홀) / 누리홀 / 농업생명과학연구원 토양분석실

2층 : 농업생명과학연구원 생명환경분석센터 / 학교기업 GAST 유전진단사업부 / 동물육종학연구실

3층 : 학술림사무실 / 영농정착 육성사업단 사무실 / 농업과학교육원(최고농업경영자과정) / 농업생명과학연구원 생명환경분석센터",459,가좌_459,가좌,ginu_hat
35.1507033,128.0980262,농대식당,"1층: COOPSKET느티마루점, 느티마루 카페",500,가좌_기본,가좌,ginu_cafe
35.15042296,128.0972479,수의1호관,수의과대학행정실 / 수의학과 / 수의예과 ,501,가좌_501,가좌,ginu_labdino
35.15077381,128.0967503,경상국립대학교 부속 동물의료원,"1층 : CT실 X-RAY실, 진단초음파검사실, 영상판독실, 현상실, 감염진찰실/입원실, 부검실, 안령실

2층 : 접수 및 수납실, 초진실, 응급처치실, 보호자대기실, 집중치료실, 원무과, 약국 등

3층 : 수술실, 동물행동클리닉, 입원실, 원장실, 수의임상도서관 등",505,가좌_기본,가좌,ginu_labdino
35.15066407,128.0960968,경남야생동물센터,경남야생동물센터,507,가좌_507,가좌,ginu_labdino
35.15631527,128.0931521,ICT융합센터,"IT 공과대학

1층: IT공과대학 행정실, 미래자동차공학과

2층 : 미래자동차공학과

3층 : AI정보공학과

4층~7층 : 컴퓨터공학과

8층~9층: 소프트웨어공학과",601,가좌_601,가좌,ginu_check
35.1524784,128.1043417,정문,-,21-1,가좌_21-1,가좌,ginu_dafault
35.15323736,128.0976196,학생회관 복지동,"학생들을 위한 편의시설과 학생기구가 있습니다.

1층 : 문구/잡화매장, 복합매장, 휴대폰 매장, 복사실, 혈액원

2층 : 우체국, 보건소, 구내서점

3층 : 컴퓨터매장, 안경점, 이용원, 여행사, 진주복무관리(병무상담)센터",3-1,가좌_기본,가좌,ginu_default
35.1546097,128.1028882,가좌농구장,-,가좌농구장,가좌_가좌농구장,가좌,ginu_sports
35.1529222,128.1014728,개척탑,"개척탑, 분수대, 열주",개척탑,가좌_개척탑,가좌,ginu_default
35.1514571,128.1008441,남부운동장,-,남부운동장,가좌_기본,가좌,ginu_sports
35.1533671,128.0983121,민주광장,-,민주광장,가좌_민주광장,가좌,ginu_default
35.15407627,128.1027958,학생테니스장,-,학생테니스장,가좌_기본,가좌,ginu_sports
